ID,Label,MinValue,MinNonnegative,MaxValue,Active,Notes
   1,subject_id,1,1,9022,TRUE,
   2,extended_family_id,1,1,9022,TRUE,
   3,hh_internal_id,1,1,5,TRUE,
  10,gender,1,1,2,TRUE,
  11,DateOfBirthMonth,1,1,12,TRUE,
  12,DateOfBirthYear,1980,1980,1984,TRUE,
  13,cross_sectional_cohort,0,0,1,TRUE,
  14,race_cohort,1,1,4,TRUE,"race-ethnicity"
  20,InterviewDateDay,-7,1,31,TRUE,
  21,InterviewDateMonth,-7,1,12,TRUE,
  22,InterviewDateYear,-7,86,2016,TRUE,
  23,AgeAtInterviewDateMonths,-5,146,500,TRUE,
  24,AgeAtInterviewDateYears,-5,12,40,TRUE,
 101,roster_crosswalk,-5,1,20,TRUE,
 102,hh_member_id,-4,1,17,TRUE,
 103,hh_informant,-4,0,1,TRUE,
 104,roster_relationship_2_dim,-4,0,99,FALSE,16 x 16 square
 105,roster_relationship_1_dim,-4,0,99,TRUE,1 x 16 vector
 106,hh_unique_id,-4,0,122,TRUE,"HHI2: People living in the Household - sorted, UID; HH member's unique ID"
 121,pair_multiple_birth,-4,0,3,TRUE,
 122,pair_twins_mz,-4,0,1,TRUE,
 123,pair_sister_same_bioparent,-4,15,16,TRUE,
 124,pair_brother_same_bioparent,-4,18,19,TRUE,
1020,InterviewDateDayParent_NOTUSED,-4,1,31,FALSE,
1021,InterviewDateMonthParent_NOTUSED,-4,1,9,FALSE,
1022,InterviewDateYearParent_NOTUSED,-4,1997,1998,FALSE,
#2,RosterGen1979,-4,1,66,TRUE,
#3,SiblingNumberFrom1993SiblingRoster,-4,1,99,TRUE,
#4,IDCodeOfOtherSiblingGen1,-5,3,12518,TRUE,
#5,ShareBiomomGen1,-5,0,2,TRUE,
#6,ShareBiodadGen1,-5,0,2,TRUE,
#9,IDCodeOfOtherInterviewedBiodadGen2,-7,1,11,TRUE,
#10,ShareBiodadGen2,-7,0,3,TRUE,
#11,Gen1MomOfGen2Subject,2,2,12675,TRUE,
#16,AgeAtInterviewDateYears,-7,13,53,TRUE,
#17,AgeAtInterviewDateMonths,-7,0,259,TRUE,
#20,InterviewDateDay,-7,1,31,TRUE,
#21,InterviewDateMonth,-7,1,12,TRUE,
#22,InterviewDateYear,-7,86,2013,TRUE,
#25,Gen1SiblingIsATwinOrTrip1994,-5,0,1,TRUE,
#26,Gen1MultipleSiblingType1994,-5,0,2,TRUE,
#27,Gen1ListedTwinCorrect1994,-5,0,1,TRUE,
#28,Gen1TwinIsMzOrDz1994,-5,1,2,TRUE,
#29,Gen1ListedTripCorrect1994,-5,0,1,TRUE,
#30,Gen1TripIsMzOrDz1994,-5,1,2,TRUE,
#37,MotherOrBothInHHGen2,-7,0,1,TRUE,
#40,FatherHasAsthmaGen2,-7,0,1,TRUE,
#48,BioKidCountGen1,0,0,11,TRUE,
#49,Gen1ChildsIDByBirthOrder,-4,1,11,TRUE,
#50,HerTwinsTripsAreListed,-5,0,5,TRUE,
#52,HerTwinsAreMz,-5,0,5,TRUE,
#53,HerTripsAreMz,-5,0,5,TRUE,
#54,HerTwinsMistakenForEachOther,-5,1,2,TRUE,
#55,HerTripsMistakenForEachOther,-5,1,2,TRUE,
#60,BirthOrderInNlsGen2,-3,1,11,TRUE,
#63,SiblingCountTotalFen1,-3,0,29,TRUE,
#64,BioKidCountGen2,-7,0,11,TRUE,
#66,OlderSiblingsTotalCountGen1,-4,0,27,TRUE,
#70,Gen1HairColor,-5,1,7,TRUE,
#71,Gen1EyeColor,-5,1,9,TRUE,
#72,Gen2HairColor_NOTUSED,-7,1,7,TRUE,
#73,Gen2EyeColor_NOTUSED,-7,1,10,TRUE,
#81,BabyDaddyInHH,-5,0,1,FALSE,
#82,BabyDaddyAlive,-5,0,1,FALSE,
#83,BabyDaddyEverLiveInHH,-5,1,2,FALSE,
#84,BabyDaddyLeftHHMonth,-5,1,12,FALSE,
#85,BabyDaddyLeftHHYearFourDigit,-5,1958,2010,FALSE,
#86,BabyDaddyDeathMonth,-5,1,12,FALSE,
#87,BabyDaddyDeathYearTwoDigit,-5,61,93,FALSE,
#88,BabyDaddyDeathYearFourDigit,-5,1961,2010,FALSE,
#89,BabyDaddyDistanceFromMotherFuzzyCeiling,-5,1,5,FALSE,
#90,BabyDaddyHasAsthma,-5,0,2,FALSE,
#91,BabyDaddyLeftHHMonthOrNeverInHH,-5,1,96,FALSE,
#92,BabyDaddyLeftHHYearTwoDigit,-5,57,96,FALSE,
#100,SubjectID,1,1,1267501,TRUE,
#101,ExtendedFamilyID,1,1,12686,TRUE,
#102,Gender,-3,1,2,TRUE,
#103,RaceCohort,1,1,3,TRUE,
#121,Gen2CFatherLivingInHH,-7,0,1,TRUE,
#122,Gen2CFatherAlive,-7,0,1,TRUE,
#123,Gen2CFatherDistanceFromMotherFuzzyCeiling,-7,1,5,TRUE,
#125,Gen2CFatherAsthma_NOTUSED,-7,0,2,TRUE,
#141,Gen2YAFatherInHH_NOTUSED,-7,0,1,TRUE,
#142,Gen2YAFatherAlive_NOTUSED,-7,0,1,TRUE,
#143,Gen2YADeathMonth,-7,1,12,TRUE,
#144,Gen2YADeathYearFourDigit,-7,1978,2010,TRUE,
#145,Gen2FromMomDeathMonth,-4,1,12,TRUE,
#146,Gen2FromMomDeathYearFourDigit,-4,1974,2015,TRUE,
#200,Gen1HeightInches,-5,48,83,TRUE,
#201,Gen1WeightPounds,-5,47,375,TRUE,
#202,Gen1AfqtScaled0Decimals_NOTUSED,-4,1,99,TRUE,
#203,Gen1AfqtScaled3Decimals,-5,0,100000,TRUE,
#204,Gen1HeightFeetInchesMashed,-5,400,611,TRUE,
#300,Gen1FatherAlive,-4,0,1,TRUE,
#301,Gen1FatherDeathCause,-4,1,6,TRUE,
#302,Gen1FatherDeathAge,-4,0,110,TRUE,
#303,Gen1FatherHasHealthProblems,-4,0,1,TRUE,
#304,Gen1FatherHealthProblem,-4,100,119972,TRUE,
#305,Gen1FatherBirthCountry,-3,1,3,TRUE,
#306,Gen1LivedWithFatherAtAgeX,-5,0,1,TRUE,
#307,Gen1FatherHighestGrade,-4,0,20,TRUE,
#308,Gen1GrandfatherBirthCountry,-4,1,2,TRUE,
#309,Gen1FatherBirthMonth,-5,1,12,TRUE,
#310,Gen1FatherBirthYear,-5,0,66,TRUE,
#311,Gen1FatherAge,-5,32,110,TRUE,
#320,Gen1MotherAlive,-4,0,1,TRUE,
#321,Gen1MotherDeathCause,-4,1,6,TRUE,
#322,Gen1MotherDeathAge,-4,0,110,TRUE,
#323,Gen1MotherHasHealthProblems,-4,0,1,TRUE,
#324,Gen1MotherHealthProblem,-4,100,118791,TRUE,
#325,Gen1MotherBirthCountry,-3,1,3,TRUE,
#326,Gen1LivedWithMotherAtAgeX,-5,0,1,TRUE,
#327,Gen1MotherHighestGrade,-4,0,20,TRUE,
#329,Gen1MotherBirthMonth,-5,1,12,TRUE,
#330,Gen1MotherBirthYear,-5,7,66,TRUE,
#331,Gen1MotherAge,-5,34,110,TRUE,
#340,Gen1AlwaysLivedWithBothParents,-5,0,1,TRUE,
#500,Gen2HeightInchesTotal,-7,13,81,TRUE,
#501,Gen2HeightFeetOnly,-7,0,8,TRUE,
#502,Gen2HeightInchesRemainder,-7,0,11,TRUE,
#503,Gen2HeightInchesTotalMotherSupplement,-7,0,75,TRUE,
#504,Gen2WeightPoundsYA,-7,70,766,TRUE,
#511,Gen2PiatMathRaw,-7,0,84,TRUE,
#512,Gen2PiatMathPercentile,-7,0,99,TRUE,
#513,Gen2PiatMathStandard,-7,0,135,TRUE,
#9993,Gen1ListIncorrectGen2TwinTrips_NOTINTAGCURRENTLY,-5,1,2,TRUE,
#9994,Gen1VerifyFirstGen2TwinsTrips_NOTINTAGSETCURRENTLY,-5,0,6,TRUE,
#9995,Gen1FirstIncorrectTwinTripYoungerOrOlder_NOTUSED,-5,1,3,TRUE,
#9996,Gen1FirstIncorrectTwinTripAgeDifference_NOTUSED,-5,1,30,TRUE,
#9997,Gen1SecondIncorrectTwinTripYoungerOrOlder_NOTUSED,-5,2,2,TRUE,
#9998,Gen1SecondIncorrectTwinTripAgeDifference_NOTUSED,-5,7,7,TRUE,
#9999,NotTranslated,0,0,0,TRUE,
